Sentiment	Text	Entity	Performance	Usability	Security	Others
o	If you can't use Commons IO (FileUtils/IOUtils/CopyUtils) here's an example using a BufferedReader to read the file line by line: CODESNIPPET_JAVA1 .	Commons IO	0	1	0	0
o	The latest version includes URL_https://visualvm.dev.java.net/ [VisualVM] for profiling.	VisualVM	0	0	0	1
p	Same with BufferedReader's readLine().	BufferedReader's readLine()	0	0	0	1
o	"No. Not at all. All I am using is Integer, Long, Double, File, FileReader, BufferedReader, line.split('\t',-1), Map, HashMap and all from Java standard Library. i use my own class Key and Data each class has 4 variables. And I aggregate data by Key and store them in HashMap."",""Thanks for the clarification. since your HashMap will contain lots of elements, you can save a ,little, pain by pre-allocating a large enough HashMap (use the constructor with the ,initialCapacity, argument)."	Map	0	0	0	1
o	8 byte salt is generated in setupEncrypt() using SecureRandom()	setupEncrypt()	0	1	1	0
p	Then I use GSON upon the generated classes.	GSON	0	1	0	0
p	"""I like Prefuse as well, but Visual Library's api is more Swing like if you are a Swing developer."""	Swing	0	1	0	0
o	I don't find enough documentations/tutorials for using Retrofit.,Did you get it resolved ?	Retrofit	0	1	0	0
o	If you need multi-threading or more control it is still possible to manipulate use the _Client_ connector class or the _Request_ objects directly.	_Request_	1	0	0	0
p	AWT is called the abstract window tool.	AWT	0	0	0	1
p	"""If your class sticks to the JavaBeans specification for its getters and setters, this method is straightforward to use and you don't need a schema."""	JavaBeans	0	1	0	0
o	Gson can also be used to serialize arbitrarily complex objects.	Gson	0	1	0	0
o	"""I also think that using read() with arguments like read(Char[], int init, int end) is a better way to read a such a large file(Eg : read(buffer,0,buffer.length)) And I also experienced the problem of missing values of using the BufferedReader instead of BufferedInputStreamReader for a binary data input stream."""	BufferedReader	0	0	0	1
o	or if you want raw speed I'd propose a variation on what Paul de Vrieze suggested (which avoids using a StringWriter (which uses a StringBuffer internally) : CODESNIPPET_JAVA2 .	StringWriter	1	0	0	0
o	"""Some are calling it the successor to Swing, but it's still too immature to call that battle."""	Swing	0	1	0	0
o	"""I have no personal experience with the following approach,but it could make sense to consider: URL_http://xstream.codehaus.org/index.html [XStream] (xml <-> java data binding) with URL_http://jettison.codehaus.org/ [Jettison] driver (xml<->json mapper), more details are available URL_http://xstream.codehaus.org/json- tutorial.html [here] ."""	XStream	0	0	0	1
o	"To zuckerburg Does that mean you return an object in invalid state instead of null?,""To Torben It means to create something like ,public static final Foo EMPTY = new Foo(), and let the method return ,FOO,."	Foo	0	0	0	1
o	"""URL_http://java.sun.com/javase/6/docs/api/java/lang/StringBuilder.html [CODETERM2] is a mutable class that can be appended to, characters replaced or removed and ultimately converted to a CODETERM3 CODETERM4 is the original synchronized version of CODETERM5 You should prefer CODETERM6 in all cases where you have only a single thread accessing your object."""	StringBuilder	0	0	0	1
p	It does not depend on the Swing Application Framework at all.	Swing	0	1	0	0
o	"""you forgot for Java Desktop Aplication based on JSR296 as built-in Swing Framework in NetBeans excluding AWT and JavaFX are all of your desribed frameworks are based on Swing, if you'll start with Swing then you'd be understand (clearly) for all these Swing's (Based Frameworks) ATW, SWT (Eclipse), Java Desktop Aplication(Netbeans), SwingX, JGoodies all there frameworks (I don't know something more about JGoodies) incl."""	AWT	0	0	0	1
p	"""SLF4J supports bridging of commons.logging, LOG4J and (a bit cumbersome, but as good as possible) java.util.logging so all logs will end up in whatever SLF4J backend you'll use."""	LOG4J	0	1	0	0
o	"I'm using zeep to include the wsdl file. Via zeep it's possible to access the methods of the API. So the method requires the Java class ,MapAdapter,. The API is ok with f.e. a Python dict, but behind the API, it only accepts this class."",""zeep allows you to call the web service methods with Python code and Python data to send to those methods. Zeep then marshals all of that into XML form and transforms your Python method call into a SOAP call to the web service. There is no Java class. There might be on the web service side if the service is written in Java, but you don't care about that as the client invoking  the service from Python. I asked for more details because your question doesn't really make sense in the way SOAP web services work."	MapAdapter	0	1	0	0
o	Log4j 2.0 and SLF4J and the never ending future of java logging frameworks.	Log4j	0	0	0	1
n	"To Leo That alone doesn't seem as if it would help much. Mind explaining why you would choose a different route than throwing a RuntimeException?,""To VinceEmigh just a matter of preference. Since he's building an API, IMO, declaring the exceptions would help "	RuntimeException	0	0	0	1
o	"""I investigated into javax.crypto package and found that there are certain Cipher names, like PBEWithMD5AndDES or PBEWithSHA1AndDESede which provides encryption upto 56 bit and 80 bit ( URL_http://en.wikipedia.org/wiki/DESede [ URL_http://en.wikipedia.org/wiki/DESede ] )."""	javax.crypto	0	0	1	0
p	"some people prefer the native look of AWT over Swing's 'not quite there' platform skins."""	AWT	0	1	0	0
n	And JXTA supports it too but the configuration is complicated.	JXTA	0	1	0	0
o	"Requires the ,Activity,/,Fragment, to unnecessarily implement an Interface. Not to mention casting the ,AdapterView, as well. Both of these can be avoided."",I am using a - public class LocationActivity extends ListActivity implements LocationListener {  - I am not calling listView = (ListView) findViewById(R.id.listview);. Thanks for ur feedback"	AdapterView	0	1	0	0
p	@Barak Schiller Thanks for posting link to XStream!	XStream	0	0	0	1
n	"""The future of GlassFish is not certain because of the acquisition of SUN by Oracle.Right now Oracle claims it will support it, but who knows how this support willlook like and how long will it last."""	GlassFish	0	0	0	1
o	Take a look at URL_http://www.jboss.org/jbosscache/ [JBossCache] .	JBossCache	0	0	0	1
o	Looks like the proper answer to this question	IOUtils	0	0	0	1
o	To janzoner And yes, it calls ,super.getResources(), which calls ContextWrapper's implementation which in turn calls ,mBase.getResources(),. I guess it ultimately leads to class ,ContextImpl, but that is not a public class. It is an implementation detail of	getResources()	0	0	0	1
o	You can use java.lang.system.out.println.	java.lang.system.out.println	0	1	0	0
p	"I agree, Do you have any suggestion?"",""Hi! thanks for you reply, I tried with this code, import javax.net.ssl.TrustManager and javax.net.ssl.X509TrustManager, and I call this method before my code, but the exception still saying the same."	javax.net.ssl.TrustManager	0	1	0	0
o	JGoodies OTOH is about PLAFs and layouts.	JGoodies OTOH	0	0	0	1
p	"""it might optimize the String constants out, I can't recall from the last time decompiled the byte code, but I do know that if there are any variables in there it will use a StringBuilder implementation for sure."""	StringBuilder	1	1	0	0
o	"If the ,studentList, is supposed to be immutable: you would be better off checking the ,count, returned by ,getStudentCount(), and then using ,Collections.emptyList(), if it was 0.  This allows for a potential optimization (i.e. having a cached empty list that is returned each time).  If the ,count, was not 0, you should still wrap the returned list in a ,Collections.unmodifiableList(studentList), wrapper to ensure it's not accidentally modified."",""Agreed. You will have to set a limit for which errors you consider likely to happen during normal use, and model these as non-exceptions. Coding errors (breach of contract) or things which you don't see happening during normal use (like out of memory, null pointer dereferencing), you should use exceptions for."	Collections.emptyList()	0	0	0	1
o	"""I talked about Swing :-), only about Swing Framework or Framework based on JSR296."""	Swing	0	0	0	1
o	"""""AB"""";, it should only use a StringBuilder if the components aren't known at compile time."""	StringBuilder	0	0	0	1
o	JAXB Bindings File Sets @XmlElement type to String instead of XMLGregorianCalendar.	JAXB	0	1	0	0
o	"""There's one important point that wasn't mentioned before: SLF4J (and both Logback and LOG4J as the logging backend) have support for a so called Mapped Diagnostic Context (MDC, see URL_http://slf4j.org/apidocs/org/slf4j/MDC.html [javadoc] and URL_http://logback.qos.ch/manual/mdc.html [documentation] )."""	Logback	0	1	0	0
o	"personally, I maintain API request params also in the response. So that front end can decide and parse response accordingly. like   ,{ params: { info: true, extraInfo: false }, data: { id: 1, name: """"Honda Civic"""", desc: """"blah blah"""", meta: {price: 25000, stock: 24 }}}"",""I like that option too. However, in terms of maintainability, if some day we want to add the parameter info=extraPrices, we can't extend from CarExtra, as in JPA is not that easy. We would have to create a CarExtraPrices that extends from Car again, duplicating the extra fields already present in CarExtra."	CarExtraPrices	0	1	0	0
